key,name,pos,team,bye,std,half_ppr,ppr
freiermuth_TE_PIT,Pat Freiermuth,TE,PIT,9,119.0,121.5,116.5
jones_RB_KC,Ronald Jones II,RB,KC,8,121.3,114.3,129.8
tagovailoa_QB_MIA,Tua Tagovailoa,QB,MIA,11,122.3,131.5,137.3
kmet_TE_CHI,Cole Kmet,TE,CHI,14,122.3,147.3,139.7
fields_QB_CHI,Justin Fields,QB,CHI,14,123.0,146.8,144.8
boyd_WR_CIN,Tyler Boyd,WR,CIN,10,124.7,140.0,133.5
henderson_RB_LAR,Darrell Henderson Jr.,RB,LAR,7,127.3,122.0,130.2
gainwell_RB_PHI,Kenneth Gainwell,RB,PHI,7,128.7,147.3,166.2
white_RB_TB,Rachaad White,RB,TB,11,131.0,143.0,170.0
smith_TE_MIN,Irv Smith Jr.,TE,MIN,7,132.0,162.3,156.7
hines_RB_IND,Nyheim Hines,RB,IND,14,132.3,132.5,135.8
pierce_RB_HOU,Dameon Pierce,RB,HOU,6,133.0,135.3,147.3
golladay_WR_NYG,Kenny Golladay,WR,NYG,9,135.3,152.3,162.8
meyers_WR_NE,Jakobi Meyers,WR,NE,10,136.3,151.7,157.5
lawrence_QB_JAX,Trevor Lawrence,QB,JAX,11,137.0,158.0,162.8
mckissic_RB_WSH,J.D. McKissic,RB,WSH,14,137.3,145.5,147.2
landry_WR_NO,Jarvis Landry,WR,NO,14,138.3,142.0,146.8
chark_WR_DET,DJ Chark Jr.,WR,DET,6,139.3,164.5,165.0
valdesscantling_WR_KC,Marquez Valdes-Scantling,WR,KC,8,140.3,141.5,149.2
moore_WR_KC,Skyy Moore,WR,KC,8,140.7,147.8,143.0
